                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.19613,                0.19567,                0.84107,                0.99769,                      1,                  0.995,                  0.995,                0.13068,                 0.1282,                0.74757,              0.0004754,              0.0004754,              0.0004754
                     80,                0.21565,                0.21069,                0.85802,                0.99763,                      1,                  0.995,                  0.995,                0.12996,                0.13511,                0.74933,              0.0004556,              0.0004556,              0.0004556
                     81,                0.20786,                0.20428,                0.83734,                0.99756,                      1,                  0.995,                  0.995,                0.11542,                0.13808,                0.74362,              0.0004358,              0.0004358,              0.0004358
                     82,                0.21262,                0.20494,                0.85606,                0.99765,                      1,                  0.995,                  0.995,                0.14549,                0.12901,                0.75036,               0.000416,               0.000416,               0.000416
                     83,                0.20868,                0.19507,                0.84717,                0.99762,                      1,                  0.995,                  0.995,                0.13194,                0.12682,                0.75639,              0.0003962,              0.0003962,              0.0003962
                     84,                0.21117,                0.20346,                0.84771,                0.99766,                      1,                  0.995,                  0.995,                 0.1205,                 0.1243,                0.75205,              0.0003764,              0.0003764,              0.0003764
                     85,                0.18736,                0.19011,                0.84254,                0.99769,                      1,                  0.995,                  0.995,                0.10991,                 0.1103,                 0.7506,              0.0003566,              0.0003566,              0.0003566
                     86,                0.19217,                0.18929,                0.83983,                0.99763,                      1,                  0.995,                  0.995,                0.10523,                0.12698,                0.74917,              0.0003368,              0.0003368,              0.0003368
                     87,                0.18971,                0.19268,                0.83868,                 0.9976,                      1,                  0.995,                  0.995,                0.11777,                0.12566,                0.75244,               0.000317,               0.000317,               0.000317
                     88,                0.18971,                0.18866,                0.83638,                0.99749,                      1,                  0.995,                  0.995,                0.11078,                0.11072,                0.74749,              0.0002972,              0.0002972,              0.0002972
                     89,                0.18123,                0.18406,                0.84297,                0.99758,                      1,                  0.995,                 0.9924,                 0.1217,                0.11684,                0.74944,              0.0002774,              0.0002774,              0.0002774
                     90,                0.18718,                 0.1869,                0.84467,                0.99763,                      1,                  0.995,                  0.995,                0.11435,                0.11279,                0.74738,              0.0002576,              0.0002576,              0.0002576
                     91,                0.11684,                0.13827,                0.76541,                0.99766,                      1,                  0.995,                  0.995,                0.12185,                0.11258,                0.74795,              0.0002378,              0.0002378,              0.0002378
                     92,                0.11482,                 0.1368,                0.76985,                0.99763,                      1,                  0.995,                  0.995,                0.11451,                0.11411,                0.74324,               0.000218,               0.000218,               0.000218
                     93,                 0.1162,                0.13534,                0.76337,                0.99769,                      1,                  0.995,                  0.995,                0.11385,                0.11849,                0.74284,              0.0001982,              0.0001982,              0.0001982
                     94,                0.11479,                0.13422,                0.76403,                0.99769,                      1,                  0.995,                  0.995,                0.10869,                0.11087,                0.74315,              0.0001784,              0.0001784,              0.0001784
                     95,                0.11745,                0.13311,                  0.768,                0.99772,                      1,                  0.995,                  0.995,                0.10081,                0.11538,                0.74114,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.1095,                0.12399,                0.77267,                0.99772,                      1,                  0.995,                  0.995,                  0.113,                0.11236,                 0.7423,              0.0001388,              0.0001388,              0.0001388
                     97,                0.11132,                0.12952,                0.76883,                0.99772,                      1,                  0.995,                  0.995,                0.10284,                0.10542,                 0.7407,               0.000119,               0.000119,               0.000119
                     98,                0.11313,                0.12884,                0.78192,                0.99772,                      1,                  0.995,                  0.995,                0.10159,                0.10263,                0.73999,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.10399,                0.11831,                0.76112,                0.99773,                      1,                  0.995,                  0.995,                0.10497,                0.09961,                0.73941,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.09973,                0.11621,                0.74855,                0.99771,                      1,                  0.995,                  0.995,                0.09702,                 0.1007,                0.74006,               5.96e-05,               5.96e-05,               5.96e-05
